Period ,Labour force  No. (‘000),Labour force Percentage change over the same period in preceding year (%),Unemployed ('000),Unemployment rate (seasonally adjusted) (%) ,Unemployment rate (not seasonally adjusted) (%) ,Underemployed ('000),Underemployment rate (%) 
1/2003 - 3/2003,3467.2,0.5,256.4,7.5,7.4,98.6,2.8
2/2003 - 4/2003,3463.3,0.7,270.2,7.8,7.8,110.4,3.2
3/2003 - 5/2003,3466.0,0.7,283.5,8.2,8.2,132.1,3.8
4/2003 - 6/2003,3470.9,0.5,296.5,8.5,8.5,148.1,4.3
5/2003 - 7/2003,3473.8,-0.4,306.8,8.4,8.8,146.2,4.2
6/2003 - 8/2003,3483.0,-0.4,307.7,8.4,8.8,139.8,4.0
7/2003 - 9/2003,3473.6,-0.8,296.5,8.2,8.5,124.9,3.6
8/2003 - 10/2003,3468.2,-0.9,280.5,8.0,8.1,119.0,3.4
9/2003 - 11/2003,3470.0,-0.9,262.9,7.6,7.6,115.1,3.3
10/2003 - 12/2003,3478.3,-0.4,251.1,7.5,7.2,114.0,3.3
11/2003 - 1/2004,3476.0,-0.3,242.9,7.5,7.0,113.7,3.3
12/2003 - 2/2004,3486.4,0.5,243.1,7.3,7.0,112.1,3.2
1/2004 - 3/2004,3497.3,0.9,247.9,7.2,7.1,116.7,3.3
2/2004 - 4/2004,3495.6,0.9,247.3,7.1,7.1,117.5,3.4
3/2004 - 5/2004,3500.1,1.0,242.5,6.9,6.9,119.7,3.4
4/2004 - 6/2004,3509.6,1.1,238.9,6.7,6.8,120.1,3.4
5/2004 - 7/2004,3521.5,1.4,246.5,6.6,7.0,120.1,3.4
6/2004 - 8/2004,3528.7,1.3,247.1,6.6,7.0,116.1,3.3
7/2004 - 9/2004,3519.6,1.3,247.3,6.7,7.0,111.2,3.2
8/2004 - 10/2004,3528.2,1.7,237.9,6.7,6.7,109.9,3.1
9/2004 - 11/2004,3532.2,1.8,233.6,6.7,6.6,110.1,3.1
10/2004 - 12/2004,3537.2,1.7,223.6,6.6,6.3,108.2,3.1
11/2004 - 1/2005,3531.8,1.6,210.4,6.4,6.0,108.2,3.1
12/2004 - 2/2005,3520.5,1.0,205.6,6.1,5.8,102.9,2.9
1/2005 - 3/2005,3526.5,0.8,206.4,6.0,5.9,107.3,3.0
2/2005 - 4/2005,3518.9,0.7,206.0,5.9,5.9,104.3,3.0
3/2005 - 5/2005,3524.4,0.7,201.3,5.7,5.7,105.3,3.0
4/2005 - 6/2005,3527.9,0.5,201.6,5.7,5.7,98.5,2.8
5/2005 - 7/2005,3541.4,0.6,213.3,5.7,6.0,97.2,2.7
6/2005 - 8/2005,3553.0,0.7,212.3,5.6,6.0,94.7,2.7
7/2005 - 9/2005,3546.9,0.8,202.7,5.4,5.7,92.4,2.6
8/2005 - 10/2005,3550.3,0.6,190.5,5.3,5.4,88.3,2.5
9/2005 - 11/2005,3545.4,0.4,187.0,5.4,5.3,86.1,2.4
10/2005 - 12/2005,3551.0,0.4,178.4,5.2,5.0,86.8,2.4
11/2005 - 1/2006,3545.0,0.4,170.4,5.2,4.8,83.0,2.3
12/2005 - 2/2006,3537.9,0.5,172.5,5.1,4.9,79.8,2.3
1/2006 - 3/2006,3552.4,0.7,177.5,5.1,5.0,80.1,2.3
2/2006 - 4/2006,3548.1,0.8,176.8,5.0,5.0,82.7,2.3
3/2006 - 5/2006,3550.2,0.7,171.1,4.9,4.8,91.6,2.6
4/2006 - 6/2006,3546.1,0.5,176.2,4.9,5.0,93.0,2.6
5/2006 - 7/2006,3577.5,1.0,184.8,4.9,5.2,90.6,2.5
6/2006 - 8/2006,3599.1,1.3,186.8,4.8,5.2,86.8,2.4
